Model,Accuracy,F1 (macro),F1 (weighted),Precision,Recall,Description
FuzSemCom (Ours),0.9499,0.9148,0.9505,0.9246,0.9152,Fuzzy Semantic Communication (Proposed)
L-DeepSC,0.7763,0.6329,0.7482,0.6342,0.7093,Lite Deep Semantic Communication
MLP,0.7724616911035167,0.716053171066718,0.7425746397752246,0.7195613658366706,0.7894130141659581,Multi-Layer Perceptron (128-64-32)
Random Forest,0.77213096681733,0.7710928575683121,0.7551102803272148,0.7438685292278212,0.8494688967387037,Random Forest with 200 trees
Gradient Boosting,0.7656267225223239,0.730168237142355,0.7523306790934282,0.7087726176318077,0.7815955304092623,Gradient Boosting Classifier
XGBoost,0.7648550325212214,0.7530238401908278,0.7493776766541453,0.7385750076050486,0.8012187559180396,XGBoost Classifier
Extra Trees,0.760224892514607,0.7460360843140373,0.7431377157931596,0.7042805332288958,0.8419223021521745,Extra Trees Classifier
LightGBM,0.7591224782273178,0.7688666215621807,0.747865951727413,0.7399709877709826,0.8369083329679675,LightGBM Classifier
Decision Tree,0.7487597839267996,0.7509164305710163,0.738906364601088,0.7161015218265807,0.8212431564990158,Decision Tree with balanced class weights
SVM (RBF),0.7245066696064381,0.6665922216351099,0.7028043321572801,0.6238650465711378,0.8336713267488652,Support Vector Machine with RBF kernel
Naive Bayes,0.7230735310329622,0.686697931245684,0.6953682578006928,0.6761218518047452,0.747742846361181,Gaussian Naive Bayes
AdaBoost,0.6944107595634439,0.4206553300423702,0.6016854577709202,0.3816589228568263,0.49388149420352084,AdaBoost Classifier
KNN,0.6907727924153897,0.6488886751743438,0.6786315942064213,0.6359073850824539,0.668128898712705,K-Nearest Neighbors (k=5)
SVM (Linear),0.6603461580862088,0.5644518913048264,0.6427045881643112,0.5390560999014037,0.7895313185223098,Support Vector Machine with Linear kernel
Logistic Regression,0.6299195237570279,0.537886081825719,0.6168514633832932,0.5152633899645593,0.7541763601991751,Logistic Regression (multinomial)
